user_id,product_id,event,timestamp
u6,p30,view,2025-10-20 17:35:00
u4,p34,view,2025-10-20 03:09:00
u8,p30,view,2025-10-18 19:38:00
u8,p8,add_to_cart,2025-10-29 23:57:00
u1,p5,add_to_cart,2025-10-08 23:07:00
u1,p9,view,2025-10-08 21:19:00
u5,p38,view,2025-10-17 08:40:00
u1,p8,view,2025-10-19 12:30:00
u5,p17,view,2025-10-24 01:47:00
u1,p2,view,2025-10-04 03:52:00
u2,p12,purchase,2025-10-19 20:07:00
u8,p17,view,2025-10-07 23:32:00
u7,p49,view,2025-10-25 23:24:00
u5,p17,view,2025-10-31 10:59:00
u2,p5,view,2025-10-19 02:35:00
u5,p36,view,2025-10-20 00:17:00
u1,p9,view,2025-10-14 17:54:00
u2,p5,add_to_cart,2025-10-17 20:35:00
u4,p32,view,2025-10-16 16:06:00
u7,p46,view,2025-10-05 05:24:00
u6,p29,view,2025-10-23 15:15:00
u5,p13,purchase,2025-10-28 21:04:00
u2,p12,view,2025-10-16 22:28:00
u8,p31,view,2025-10-17 19:28:00
u5,p38,view,2025-10-15 13:52:00
u2,p9,view,2025-10-11 16:20:00
u5,p38,view,2025-10-28 04:09:00
u7,p50,wishlist,2025-10-13 22:01:00
u5,p36,view,2025-10-06 19:33:00
u7,p50,add_to_cart,2025-10-29 02:09:00
u8,p6,view,2025-10-12 04:39:00
u7,p49,add_to_cart,2025-11-02 13:59:00
u5,p13,wishlist,2025-10-29 10:00:00
u2,p11,view,2025-10-21 21:34:00
u2,p12,view,2025-10-07 04:27:00
u8,p24,view,2025-11-01 23:00:00
u1,p4,purchase,2025-10-18 12:20:00
u2,p4,wishlist,2025-10-13 04:15:00
u2,p11,view,2025-10-14 02:24:00
u8,p41,view,2025-10-26 18:16:00
u2,p5,wishlist,2025-10-15 10:40:00
u3,p34,view,2025-10-17 10:51:00
u5,p11,view,2025-10-08 07:52:00
u8,p44,purchase,2025-10-23 05:43:00
u2,p3,view,2025-10-24 09:20:00
u6,p28,view,2025-10-15 19:57:00
u5,p38,view,2025-10-17 07:19:00
u8,p4,wishlist,2025-10-13 03:53:00
u3,p13,view,2025-10-05 06:05:00
u4,p6,wishlist,2025-10-07 17:10:00
u7,p47,add_to_cart,2025-10-18 17:54:00
u3,p9,view,2025-10-18 23:24:00
u3,p31,purchase,2025-10-06 08:51:00
u4,p33,view,2025-10-13 21:03:00
u4,p8,view,2025-10-26 00:07:00
u4,p13,view,2025-10-18 11:04:00
u8,p3,view,2025-10-31 04:39:00
u5,p37,wishlist,2025-10-24 05:44:00
u3,p16,view,2025-10-16 08:15:00
u4,p7,view,2025-10-15 07:01:00
u2,p5,view,2025-10-05 09:56:00
u1,p9,view,2025-10-07 15:42:00
u6,p28,add_to_cart,2025-10-06 12:36:00
u7,p49,view,2025-10-08 01:39:00
u6,p25,view,2025-10-14 15:57:00
u7,p49,view,2025-10-10 07:01:00
u6,p25,add_to_cart,2025-10-18 18:05:00
u5,p16,view,2025-10-24 22:26:00
u3,p19,view,2025-10-20 22:27:00
u1,p11,view,2025-10-26 06:37:00
u3,p32,purchase,2025-10-07 13:04:00
u6,p27,view,2025-10-25 15:25:00
u1,p10,view,2025-10-04 05:57:00
u7,p46,view,2025-10-12 06:41:00
u4,p6,wishlist,2025-10-09 13:28:00
u8,p9,purchase,2025-10-07 09:03:00
u4,p8,purchase,2025-10-28 14:53:00
u3,p8,view,2025-10-25 12:14:00
u5,p35,view,2025-10-08 17:08:00
u3,p13,view,2025-10-15 12:03:00
u6,p29,view,2025-10-17 21:33:00
u3,p33,add_to_cart,2025-10-05 21:35:00
u4,p36,view,2025-10-24 07:31:00
u6,p28,view,2025-10-19 15:30:00
u1,p3,view,2025-10-09 21:24:00
u4,p14,view,2025-10-27 14:35:00
u5,p37,view,2025-10-18 01:50:00
u7,p50,view,2025-10-27 07:04:00
u7,p50,view,2025-10-17 10:26:00
u6,p24,view,2025-10-10 13:51:00
u8,p8,add_to_cart,2025-10-21 07:42:00
u6,p24,view,2025-10-07 14:57:00
u4,p20,view,2025-10-11 11:14:00
u1,p6,add_to_cart,2025-10-26 10:51:00
u3,p36,wishlist,2025-10-21 05:30:00
u4,p16,view,2025-10-23 09:32:00
u4,p19,view,2025-10-08 08:05:00
u7,p47,view,2025-10-24 11:32:00
u8,p46,view,2025-10-24 20:27:00
u6,p28,view,2025-10-12 05:18:00
u6,p27,view,2025-10-16 01:39:00
u7,p47,add_to_cart,2025-10-06 06:55:00
u7,p48,add_to_cart,2025-10-28 10:38:00
u4,p18,purchase,2025-10-08 19:29:00
u8,p21,view,2025-10-09 00:49:00
u6,p25,view,2025-10-27 11:05:00
u3,p8,add_to_cart,2025-10-05 11:53:00
u5,p35,purchase,2025-11-02 07:07:00
u2,p3,view,2025-10-20 04:02:00
u8,p20,purchase,2025-10-28 10:07:00
u6,p30,view,2025-10-09 20:40:00
u7,p47,wishlist,2025-11-04 01:00:00
u5,p13,view,2025-10-12 08:56:00
u5,p16,add_to_cart,2025-11-01 14:50:00
